Lens,Construction,Min. Focus,Filter Size,Weight,Lens Hood
F-Distagon T* f/2.8 16 mm (Fisheye),8 – 7,0.3 m,built-in,460 g,-
Distagon T* f/3.5 15 mm,13 – 12,0.16 m,built-in,875 g,-
Distagon T* f/4 18 mm,10 – 9,0.3 m,86 mm (needs 70/86 Ring),320 g,-
Distagon T* f/2.8 21 mm,15 – 13,0.25 m,82 mm,530 g,Metal Hood W1
Distagon T* f/2.8 25 mm,8 – 7,0.25 m,55 mm,380 g,-
Distagon T* f/2 28 mm,9 – 8,0.24 m,55 mm,530 g,55/86 Ring + Metal Hood 1
Distagon T* f/2.8 28 mm,7 – 7,0.25 m,55 mm,280 g,55/86 Ring + Metal Hood 1
Distagon T* f/1.4 35 mm,9 – 8,0.3 m,67 mm,600 g,67/86 Ring + Metal Hood 2
Distagon T* f/2.8 35 mm,6 – 6,0.4 m,55 mm,240 g,55/86 Ring + Metal Hood 3
PC-Distagon T* f/2.8 35 mm (Shift),9 – 9,0.3 m,86 mm (needs 70/86 Ring),740 g,-
"Tessar T* 2,8/45 mm",4 – 3,0.6 m,49 mm,90 g,-
Planar T* f/1.2 55 mm 100 Jahre,8 – 7,0.6 m,77 mm,500 g,1.2/55 Metal Hood
Planar T* f/1.4 50 mm,7 – 6,0.45 m,55 mm,290 g,55/86 Ring + Metal Hood 4
Planar T* f/1.7 50 mm,7 – 6,0.6 m,55 mm,195 g,55/86 Ring + Metal Hood 4
S-Planar / Makro-Planar T* f/2.8 60 mm,6 – 4,0.24 m,67 mm,570 g,67/86 Ring + Metal Hood 3
Makro-Planar T* f/2.8 60mm C,6 – 4,0.27 m,55 mm,260 g,55/86 Ring + Metal Hood 4
Planar T* f/1.2 85 mm 50 Years,8 – 7,1 m,77 mm,874 g,77/86 Ring + Metal Hood 4
Planar T* f/1.2 85 mm 60 Years,8 – 7,1 m,–,–,1.2/85 Metal Hood
Planar T* f/1.4 85 mm,6 – 5,1 m,67 mm,595 g,67/86 Ring + Metal Hood 4
Sonnar T* f/2.8 85 mm,5 – 4,1 m,55 mm,260 g,55/86 Ring + Metal Hood 5
Planar T* f/2 100 mm,6 – 5,1 m,67 mm,670 g,67/86 Ring + Metal Hood 4
"Makro-Planar T* 2,8/100 mm",7 – 7,0.16 m,67 mm,740 g,67/86 Ring + Metal Hood 4
Planar T* f/2 135 mm (also „60 Years“),5 – 5,1.5 m,72 mm,790 g,72/86 Ring + Metal Hood 4
Sonnar T* f/2.8 135 mm,5 – 4,1.6 m,55 mm,585 g,built-in
Sonnar T* f/2.8 180 mm I,6 – 5,1.4 m,72 mm,985 g,built-in
Sonnar T* f/2.8 180 mm II,6 – 5,1.4 m,72 mm,815 g,built-in
Aposonnar T* f/2 200 mm,10 – 8,1.8 m,drop-in,2690 g,built-in
Tele-Tessar T* f/3.5 200 mm,6 – 5,1.8 m,67 mm,780 g,built-in
Tele-Tessar T* f/4 300 mm,5 – 5,3.5 m,82 mm,1170 g,built-in
Tele-Apotessar T* f/2.8 300 mm,7 – 6,3.5 m,drop-in,2730 g,built-in
Mirotar f/4.5 500 mm,5 – 5,3.5 m,49 mm drop-in,4500 g,-
Mirotar f/5.6 1000 mm,5 – 5,12 m,60 mm drop-in,16500 g,-
